"file","line","klass","before","after","note"
"core/Commands.c","7840","element-count","(g_vartbl[g_VarIndex].dims[k] - g_OptionBase + 1)","(DimUpper(RAW_DIM(g_vartbl[g_VarIndex], k)) - g_OptionBase + 1)","Second pass of the same READ cardinality calculation; same order-preserving treatment."
"core/Commands.c","8142","is-array-test","g_vartbl[g_VarIndex].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","RESTORE with a float variable target: SyntaxError if the variable is a real array."
"core/Commands.c","8151","is-array-test","g_vartbl[g_VarIndex].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","RESTORE with an integer variable target: same array rejection."
"core/Commands.c","8562","empty-param-test","g_vartbl[g_VarIndex].dims[0] == -1","DimIsEmptyParam(RAW_DIM(g_vartbl[g_VarIndex], 0))","DIM/LOCAL: reject an unbound empty array parameter with ""Array dimensions""."
"core/Commands.c","8564","is-array-test","g_vartbl[g_VarIndex].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","DIM/LOCAL: a real array locks OPTION BASE and uses the allocated pointer."
"core/Commands.c","8589","is-array-test","g_vartbl[VIndexSave].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[VIndexSave], 0))","Struct initialiser: is the DIMmed struct variable an array (else 1 element)."
"core/Commands.c","8591","rank-scan","g_vartbl[VIndexSave].dims[k]","!DimIsEnd(RAW_DIM(g_vartbl[VIndexSave], k))","Loop terminator over the struct array's dimension slots (bare truthiness in the original)."
"core/Commands.c","8593","element-count","(g_vartbl[VIndexSave].dims[k] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[VIndexSave], k))","Literal upper bound + 1 - OPTION BASE; textbook DimElements. Redundant wrapping parens dropped (macro parenthesises)."
"core/Commands.c","8611","is-array-test","member->dims[0] != 0","DimIsAllocated(RAW_DIM(*member, 0))","Struct initialiser: is this member itself an array."
"core/Commands.c","8613","rank-scan","member->dims[k]","!DimIsEnd(RAW_DIM(*member, k))","Loop terminator over the member's dimension slots."
"core/Commands.c","8615","element-count","(member->dims[k] + 1 - g_OptionBase)","DimElements(RAW_DIM(*member, k))","Member element count, literal + 1 - g_OptionBase form."
"core/Commands.c","8663","is-array-test","g_vartbl[g_VarIndex].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","DIM x(...) = (...) initialiser list path: taken only for a real array followed by '('."
"core/Commands.c","8666","rank-scan","g_vartbl[VIndexSave].dims[k]","!DimIsEnd(RAW_DIM(g_vartbl[VIndexSave], k))","Loop terminator while computing the total number of initialisers expected."
"core/Commands.c","8668","element-count","(g_vartbl[VIndexSave].dims[k] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[VIndexSave], k))","Overall array size for the initialiser list."
"core/Commands.c","8706","is-array-test","g_vartbl[VIndexSave].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[VIndexSave], 0))","STATIC (STRUCTENABLED build): array or string/struct globals are pointed at, not copied."
"core/Commands.c","8708","is-array-test","g_vartbl[VIndexSave].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[VIndexSave], 0))","Same test in the non-STRUCTENABLED arm of the #ifdef."
"core/Commands.c","8719","verbatim-copy","g_vartbl[g_VarIndex].dims[j] = g_vartbl[VIndexSave].dims[j];","RAW_DIM(g_vartbl[g_VarIndex], j) = RAW_DIM(g_vartbl[VIndexSave], j);","STATIC: copies the whole dimension table slot by slot from global to local pointer var; both sides must stay raw."
"core/Commands.c","8751","is-array-test","g_vartbl[g_VarIndex].dims[0] != 0","DimIsAllocated(RAW_DIM(g_vartbl[g_VarIndex], 0))","CONST: reject anything that has array storage (""Invalid constant"")."
"core/Commands.c","8763","inline-string-storage","sizeof(g_vartbl[g_VarIndex].dims[1])","sizeof(RAW_DIM(g_vartbl[g_VarIndex], 1))","Capacity of the inline short-string area that lives in dimtbl[1..]; sizeof of a slot, must stay raw."
"core/Commands.c","8766","inline-string-storage","&g_vartbl[g_VarIndex].dims[1]","&RAW_DIM(g_vartbl[g_VarIndex], 1)","Points val.s at the inline storage starting at dimtbl[1]; address-of, must stay raw."
"core/Commands.c","8855","is-array-test","g_vartbl[src_idx].dims[0] != 0","DimIsAllocated(RAW_DIM(g_vartbl[src_idx], 0))","STRUCT COPY: source has array storage, so check for empty ()."
"core/Commands.c","8867","rank-scan","g_vartbl[src_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[src_idx], d))","Loop terminator over the source array's dimensions."
"core/Commands.c","8869","element-count","(g_vartbl[src_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[src_idx], d))","Source element count for the whole-array copy."
"core/Commands.c","8899","is-array-test","g_vartbl[dst_idx].dims[0] != 0","DimIsAllocated(RAW_DIM(g_vartbl[dst_idx], 0))","STRUCT COPY: destination has array storage."
"core/Commands.c","8909","rank-scan","g_vartbl[dst_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[dst_idx], d))","Loop terminator over the destination array's dimensions."
"core/Commands.c","8911","element-count","(g_vartbl[dst_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[dst_idx], d))","Destination element count for the whole-array copy."
"core/Commands.c","8955","scalar-test","g_vartbl[arr_idx].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[arr_idx], 0))","STRUCT SORT: error unless the target is an array (not a single struct)."
"core/Commands.c","8975","rank-scan","g_vartbl[arr_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[arr_idx], d))","Loop terminator while counting sortable elements."
"core/Commands.c","8977","element-count","(g_vartbl[arr_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[arr_idx], d))","Number of struct elements to sort."
"core/Commands.c","9200","is-array-test","g_vartbl[var_idx].dims[0] != 0","DimIsAllocated(RAW_DIM(g_vartbl[var_idx], 0))","STRUCT CLEAR: array storage means zero every element, else just one."
"core/Commands.c","9202","rank-scan","g_vartbl[var_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[var_idx], d))","Loop terminator over dimensions for the memset size."
"core/Commands.c","9204","element-count","(g_vartbl[var_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[var_idx], d))","Element count feeding memset(struct_size * num_elements)."
"core/Commands.c","9316","is-array-test","(g_vartbl[var_idx].dims[0] != 0)","DimIsAllocated(RAW_DIM(g_vartbl[var_idx], 0))","STRUCT SAVE: is_array flag; redundant outer parens removed since the macro parenthesises."
"core/Commands.c","9330","rank-scan","g_vartbl[var_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[var_idx], d))","Loop terminator when empty () means save the whole array."
"core/Commands.c","9332","element-count","(g_vartbl[var_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[var_idx], d))","Elements to save."
"core/Commands.c","9397","is-array-test","(g_vartbl[var_idx].dims[0] != 0)","DimIsAllocated(RAW_DIM(g_vartbl[var_idx], 0))","STRUCT LOAD: is_array flag."
"core/Commands.c","9411","rank-scan","g_vartbl[var_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[var_idx], d))","Loop terminator when empty () means load the whole array."
"core/Commands.c","9413","element-count","(g_vartbl[var_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[var_idx], d))","Elements to load."
"core/Commands.c","9453","is-array-test","(g_vartbl[var_idx].dims[0] != 0)","DimIsAllocated(RAW_DIM(g_vartbl[var_idx], 0))","STRUCT PRINT: is_array flag."
"core/Commands.c","9474","rank-scan","g_vartbl[var_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[var_idx], d))","Loop terminator when printing the whole array."
"core/Commands.c","9476","element-count","(g_vartbl[var_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[var_idx], d))","Elements to print."
"core/Commands.c","9518","rank-scan","sm->dims[d] != 0","!DimIsEnd(RAW_DIM(*sm, d))","STRUCT PRINT: loop terminator over a member's dimension slots."
"core/Commands.c","9520","element-count","(sm->dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(*sm, d))","Element count of an array member being printed."
"core/Commands.c","9671","scalar-test","g_vartbl[src_idx].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[src_idx], 0))","STRUCT EXTRACT: error ""not a single structure"" when the source is not an array."
"core/Commands.c","9673","rank-scan","g_vartbl[src_idx].dims[1] != 0","!DimIsEnd(RAW_DIM(g_vartbl[src_idx], 1))","A second dimension exists -> reject; only 1-D struct arrays are supported."
"core/Commands.c","9691","element-count","g_vartbl[src_idx].dims[0] + 1 - g_OptionBase","DimElements(RAW_DIM(g_vartbl[src_idx], 0))","Cardinality of the 1-D source struct array."
"core/Commands.c","9710","scalar-test","g_vartbl[dst_idx].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[dst_idx], 0))","STRUCT EXTRACT: destination must be an array."
"core/Commands.c","9712","rank-scan","g_vartbl[dst_idx].dims[1] != 0","!DimIsEnd(RAW_DIM(g_vartbl[dst_idx], 1))","Destination must be 1-dimensional."
"core/Commands.c","9716","element-count","g_vartbl[dst_idx].dims[0] + 1 - g_OptionBase","DimElements(RAW_DIM(g_vartbl[dst_idx], 0))","Cardinality of the 1-D destination array."
"core/Commands.c","9785","scalar-test","g_vartbl[src_idx].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[src_idx], 0))","STRUCT INSERT: source must be an array."
"core/Commands.c","9787","rank-scan","g_vartbl[src_idx].dims[1] != 0","!DimIsEnd(RAW_DIM(g_vartbl[src_idx], 1))","Source must be 1-dimensional."
"core/Commands.c","9791","element-count","g_vartbl[src_idx].dims[0] + 1 - g_OptionBase","DimElements(RAW_DIM(g_vartbl[src_idx], 0))","Cardinality of the 1-D source array."
"core/Commands.c","9812","scalar-test","g_vartbl[dst_idx].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[dst_idx], 0))","STRUCT INSERT: destination struct must be an array."
"core/Commands.c","9814","rank-scan","g_vartbl[dst_idx].dims[1] != 0","!DimIsEnd(RAW_DIM(g_vartbl[dst_idx], 1))","Destination struct array must be 1-dimensional."
"core/Commands.c","9832","element-count","g_vartbl[dst_idx].dims[0] + 1 - g_OptionBase","DimElements(RAW_DIM(g_vartbl[dst_idx], 0))","Cardinality of the 1-D destination struct array."
"core/Commands.c","10079","assignment","sm->dims[i] = dims[i];","RAW_DIM(*sm, i) = dims[i];","TYPE definition: stores the parsed local dims[] into the new struct member's table. Store site, raw. Local dims[] untouched."
"core/Commands.c","10165","verbatim-copy","sd->members[i].dims[j]","RAW_DIM(sd->members[i], j)","FindStructMember copies the member's dimension table out to the caller's member_dims[]; raw copy."
"core/Commands.c","10224","scalar-test","g_vartbl[var_idx].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[var_idx], 0))","STRUCT(FIND ...): error ""Expected an array of structures"" when not an array."
"core/Commands.c","10241","rank-scan","g_vartbl[var_idx].dims[d] != 0","!DimIsEnd(RAW_DIM(g_vartbl[var_idx], d))","Loop terminator while counting elements to search."
"core/Commands.c","10243","element-count","(g_vartbl[var_idx].dims[d] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[var_idx], d))","Number of struct elements STRUCT(FIND) will scan."
"core/Functions.c","199","bounds-check","iret = g_vartbl[g_VarIndex].dims[which - 1];","iret = DimUpper(RAW_DIM(g_vartbl[g_VarIndex], which - 1));","fun_bound() ??? the BASIC BOUND(array, n) function. Reads the declared upper bound of dimension n (1-based argument, so index which-1) out of the just-found variable and returns it as the integer result. The value is genuinely reported as an upper bound, not stored or copied, so DimUpper() is the meaning-correct accessor; it expands to the bare expression in Phase A, so the site is inert. The following `if (iret == -1) iret = 0;` reserved-value fixup operates on the local int and was left untouched."
"core/MATHS.c","659","verbatim-copy","dims = g_vartbl[g_VarIndex].dims;","dims = DIM_TABLE(g_vartbl[g_VarIndex]);","parseintegerarray: caller passed dims==NULL, so the local pointer is aliased onto the live variable's whole dimension table (no copy). Whole-array use -> DIM_TABLE."
"core/MATHS.c","682","element-count","j = (g_vartbl[g_VarIndex].dims[i] - g_OptionBase + 1);","j = (DimUpper(RAW_DIM(g_vartbl[g_VarIndex], i)) - g_OptionBase + 1);","STRUCTENABLED branch: per-dimension element count for the struct-array cardinality product. Written '- g_OptionBase + 1', so operand order kept literally with DimUpper rather than collapsed into DimElements."
"core/MATHS.c","694","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(int));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(int));","rp2350 path: bulk copy of the whole table into the caller's int dims[MAXDIM]."
"core/MATHS.c","696","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(short));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(short));","rp2040 path: same bulk copy, short table."
"core/MATHS.c","731","verbatim-copy","dims = g_vartbl[g_VarIndex].dims;","dims = DIM_TABLE(g_vartbl[g_VarIndex]);","parsestringarray: dims==NULL fallback aliases the local pointer onto the live table."
"core/MATHS.c","735","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(int));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(int));","parsestringarray rp2350: whole-table copy."
"core/MATHS.c","737","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(short));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(short));","parsestringarray rp2040: whole-table copy."
"core/MATHS.c","776","verbatim-copy","dims = g_vartbl[g_VarIndex].dims;","dims = DIM_TABLE(g_vartbl[g_VarIndex]);","parsenumberarray: dims==NULL fallback aliases the local pointer onto the live table."
"core/MATHS.c","802","element-count","j = (g_vartbl[g_VarIndex].dims[i] - g_OptionBase + 1);","j = (DimUpper(RAW_DIM(g_vartbl[g_VarIndex], i)) - g_OptionBase + 1);","parsenumberarray STRUCTENABLED branch: element count per dimension for the cardinality product; original '- g_OptionBase + 1' order preserved."
"core/MATHS.c","814","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(int));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(int));","parsenumberarray rp2350: whole-table copy."
"core/MATHS.c","816","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(short));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(short));","parsenumberarray rp2040: whole-table copy."
"core/MATHS.c","856","verbatim-copy","dims = g_vartbl[g_VarIndex].dims;","dims = DIM_TABLE(g_vartbl[g_VarIndex]);","parsefloatarray: dims==NULL fallback aliases the local pointer onto the live table."
"core/MATHS.c","879","element-count","j = (g_vartbl[g_VarIndex].dims[i] - g_OptionBase + 1);","j = (DimUpper(RAW_DIM(g_vartbl[g_VarIndex], i)) - g_OptionBase + 1);","parsefloatarray STRUCTENABLED branch: element count per dimension for the cardinality product; original '- g_OptionBase + 1' order preserved."
"core/MATHS.c","891","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(int));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(int));","parsefloatarray rp2350: whole-table copy."
"core/MATHS.c","893","verbatim-copy","memcpy(dims, g_vartbl[g_VarIndex].dims, MAXDIM * sizeof(short));","memcpy(dims, DIM_TABLE(g_vartbl[g_VarIndex]), MAXDIM * sizeof(short));","parsefloatarray rp2040: whole-table copy."
"core/MATHS.c","1103","is-array-test","g_vartbl[g_VarIndex].dims[0] <= 0","!DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","parseany T_NBR branch: rejects a non-array ('Argument 1 must be a numerical array'). Slot 0 tested for 'is a real array dimension'."
"core/MATHS.c","1107","rank-scan","g_vartbl[g_VarIndex].dims[1] != 0","!DimIsEnd(RAW_DIM(g_vartbl[g_VarIndex], 1))","parseany T_NBR branch: a second dimension present means not 1D -> StandardError(6)."
"core/MATHS.c","1109","element-count","arraylength = g_vartbl[g_VarIndex].dims[0] - g_OptionBase + 1;","arraylength = DimUpper(RAW_DIM(g_vartbl[g_VarIndex], 0)) - g_OptionBase + 1;","parseany T_NBR branch: number of elements of the 1D array; original '- g_OptionBase + 1' order preserved rather than collapsing to DimElements."
"core/MATHS.c","1121","is-array-test","g_vartbl[g_VarIndex].dims[0] <= 0","!DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","parseany T_INT branch: same non-array rejection as line 1103."
"core/MATHS.c","1125","rank-scan","g_vartbl[g_VarIndex].dims[1] != 0","!DimIsEnd(RAW_DIM(g_vartbl[g_VarIndex], 1))","parseany T_INT branch: second dimension present -> not 1D -> StandardError(6)."
"core/MATHS.c","1127","element-count","arraylength = g_vartbl[g_VarIndex].dims[0] - g_OptionBase + 1;","arraylength = DimUpper(RAW_DIM(g_vartbl[g_VarIndex], 0)) - g_OptionBase + 1;","parseany T_INT branch: element count of the 1D array; operand order preserved."
"core/MATHS.c","1149","is-array-test","g_vartbl[g_VarIndex].dims[0] <= 0","!DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","parseany string-array branch: non-array rejection. The comment above it notes this slot-0 test must come first because a short scalar string is stored inline in dimtbl[1..]; test order left exactly as-is."
"core/MATHS.c","1153","rank-scan","g_vartbl[g_VarIndex].dims[1] != 0","!DimIsEnd(RAW_DIM(g_vartbl[g_VarIndex], 1))","parseany string-array branch: genuine rank test, reached only after slot 0 proved this is an array (so slot 1 is not inline string bytes here) -> not 1D -> StandardError(6)."
"core/MATHS.c","1155","element-count","arraylength = g_vartbl[g_VarIndex].dims[0] - g_OptionBase + 1;","arraylength = DimUpper(RAW_DIM(g_vartbl[g_VarIndex], 0)) - g_OptionBase + 1;","parseany string-array branch: element count of the 1D string array; operand order preserved."
"core/Memory.c","1498","element-count","nbr = g_vartbl[var].dims[0] + 1 - g_OptionBase;","nbr = DimElements(RAW_DIM(g_vartbl[var], 0));","MEMORY usage accounting: seeds the element count for the variable from dimension 0. Text is exactly upper bound + 1 - g_OptionBase, so DimElements is the faithful accessor."
"core/Memory.c","1499","is-array-test","if (g_vartbl[var].dims[0])","if (DimIsAllocated(RAW_DIM(g_vartbl[var], 0)))","Decides whether this variable owns heap array storage (as opposed to being a scalar). Truthiness test on dimtbl[0] -> DimIsAllocated, which expands to (d) != 0."
"core/Memory.c","1501","rank-scan","for (j = 1; j < MAXDIM && g_vartbl[var].dims[j]; j++)","for (j = 1; j < MAXDIM && !DimIsEnd(RAW_DIM(g_vartbl[var], j)); j++)","Walks dimensions 1..MAXDIM-1 until a zero terminates the scan; classic rank scan, so !DimIsEnd."
"core/Memory.c","1502","element-count","nbr *= (g_vartbl[var].dims[j] + 1 - g_OptionBase);","nbr *= DimElements(RAW_DIM(g_vartbl[var], j));","Multiplies in the element count of each further dimension. Original operand order is upper bound + 1 - g_OptionBase, matching DimElements exactly; the redundant outer parens were dropped because DimElements already parenthesises its expansion."
"core/Memory.c","1512","inline-string-storage","if (g_vartbl[var].val.s != (void *)&g_vartbl[var].dims[1])","if (g_vartbl[var].val.s != (void *)&RAW_DIM(g_vartbl[var], 1))","Tests whether a short string is stored inline in dimtbl[1..] rather than in a STRINGSIZE heap block. Takes the ADDRESS of the slot, so it must stay raw."
"core/MMBasic.c","2277","is-array-test","g_vartbl[argVarIndex[i]].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[argVarIndex[i]], 0))","BYVAL handling: trap a whole array (but not an array element) being passed BYVAL. '> 0' means a real array, deliberately excluding the -1 unbound-parameter encoding."
"core/MMBasic.c","2356","is-array-test","g_vartbl[g_VarIndex].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","Just-declared local sub/fun parameter: if it is a real array it must have been an empty array -> ""Argument list"" error."
"core/MMBasic.c","2362","empty-param-test","g_vartbl[g_VarIndex].dims[0] == -1","DimIsEmptyParam(RAW_DIM(g_vartbl[g_VarIndex], 0))","The definition declared an unbound empty array parameter, eg SUB s(a()); enters the array-binding path."
"core/MMBasic.c","2365","scalar-test","g_vartbl[argVarIndex[i]].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[argVarIndex[i]], 0))","Caller's argument must be an array; error ""Expected an array"" when it is a plain scalar."
"core/MMBasic.c","2380","verbatim-copy","g_vartbl[argVarIndex[i]].dims[j]","RAW_DIM(g_vartbl[argVarIndex[i]], j)","Source side of the same copy; the value (including the reserved -1) is copied verbatim, so it must stay raw."
"core/MMBasic.c","2380","assignment","g_vartbl[g_VarIndex].dims[j]","RAW_DIM(g_vartbl[g_VarIndex], j)","Store side of the MAXDIM loop that copies the caller's dimension table into the local array parameter."
"core/MMBasic.c","3826","is-array-test","g_vartbl[argVarIndex].dims[0] != 0","DimIsAllocated(RAW_DIM(g_vartbl[argVarIndex], 0))","ValidateStructParam: caller's struct argument has dimensions at all (true for a real array or a -1 empty parameter) before deciding whether to copy them."
"core/MMBasic.c","3842","assignment","g_vartbl[varIndex].dims[j]","RAW_DIM(g_vartbl[varIndex], j)","Store side of the struct-array parameter dimension copy (whole-array pass only)."
"core/MMBasic.c","3842","verbatim-copy","g_vartbl[argVarIndex].dims[j]","RAW_DIM(g_vartbl[argVarIndex], j)","Source side of the same copy; values pass through unchanged."
"core/MMBasic.c","4768","is-array-test","g_vartbl[vindex].dims[0] != 0","DimIsAllocated(RAW_DIM(g_vartbl[vindex], 0))","findvar fast path: a scalar reference (dnbr==0) must not resolve to something with dimensions -> ""Array dimensions""."
"core/MMBasic.c","4775","scalar-test","g_vartbl[vindex].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[vindex], 0))","findvar fast path: an empty-array reference arr() must not resolve to a scalar."
"core/MMBasic.c","4781","rank-scan","g_vartbl[vindex].dims[i] != 0","!DimIsEnd(RAW_DIM(g_vartbl[vindex], i))","Loop that counts the declared rank; 0 terminates the scan."
"core/MMBasic.c","4799","scalar-test","g_vartbl[vindex].dims[0] == 0","DimIsScalar(RAW_DIM(g_vartbl[vindex], 0))","Non-arrayed variable (or empty-array reference) shortcut that returns a pointer to the value directly."
"core/MMBasic.c","4867","bounds-check","dim[i] > g_vartbl[vindex].dims[i]","dim[i] > DimUpper(RAW_DIM(g_vartbl[vindex], i))","Subscript range check against the declared upper bound -> ""Index out of bounds""."
"core/MMBasic.c","4876","element-count","(g_vartbl[vindex].dims[i - 1] + 1 - g_OptionBase)","DimElements(RAW_DIM(g_vartbl[vindex], i - 1))","Row-stride accumulation when flattening a multi-dimensional subscript; exactly upper bound + 1 - OPTION BASE."
"core/MMBasic.c","5075","assignment","g_vartbl[ifree].dims[j] = 0;","RAW_DIM(g_vartbl[ifree], j) = 0;","Zero the whole dimension table when initialising a newly created variable slot."
"core/MMBasic.c","5109","assignment","g_vartbl[vindex].dims[0] = -1;","RAW_DIM(g_vartbl[vindex], 0) = -1;","Store the reserved -1 marking an unbound empty array parameter."
"core/MMBasic.c","5126","assignment","g_vartbl[vindex].dims[i] = dim[i];","RAW_DIM(g_vartbl[vindex], i) = dim[i];","DIM: store each declared upper bound as supplied (no encoding applied in Phase A)."
"core/MMBasic.c","5140","raw-access","j = g_vartbl[ifree].dims[0];","j = RAW_DIM(g_vartbl[ifree], 0);","Save dimtbl[0] verbatim before the slot is temporarily blocked for the GetMemory call; restored at line 5182."
"core/MMBasic.c","5141","assignment","g_vartbl[ifree].dims[0] = 0;","RAW_DIM(g_vartbl[ifree], 0) = 0;","Mark the variable as not allocated while GetMemory may throw ""not enough memory""."
"core/MMBasic.c","5167","inline-string-storage","sizeof(g_vartbl[ifree].dims[1])","sizeof(RAW_DIM(g_vartbl[ifree], 1))","Capacity of the inline short-string area formed by dimtbl[1..MAXDIM-1]; must stay raw (it is a sizeof of the storage slot, not a bound)."
"core/MMBasic.c","5168","inline-string-storage","&g_vartbl[ifree].dims[1]","&RAW_DIM(g_vartbl[ifree], 1)","Takes the address of dimtbl[1] to use the dimension table as inline storage for a short scalar string."
"core/MMBasic.c","5182","assignment","g_vartbl[ifree].dims[0] = j;","RAW_DIM(g_vartbl[ifree], 0) = j;","Restore the saved raw dimtbl[0] after the allocation succeeded."
